Rank*,Page,Date of completion*,Views in millions
1,Taj Mahal,1653,49
2,Burj Khalifa,2009,40
3,Statue of Liberty,1886,38
4,Great Wall of China,c. 212 BC,37
5,Eiffel Tower,1889,35
6,Berlin Wall,1960s,31
7,Machu Picchu,15th century,28
8,Stonehenge,3rd millennium BC,27
8,Mount Rushmore National Memorial,1939,27
10,Colosseum,80,26
11,Great Pyramid of Giza,c. 2560 BC,24
12,One World Trade Center,2014,23
13,Empire State Building,1931,22
14,White House,1800,21
15,Petra,5th century BC,20
15,Large Hadron Collider,2008,20
17,Hagia Sophia,537,19
18,Golden Gate Bridge,1937,17
18,Panama Canal,1914,17
20,Angkor Wat,12th century,16
20,Big Ben,1859,16
20,Guantanamo Bay detention camp,2002,16
23,Buckingham Palace,1850,15
23,Christ the Redeemer (statue),1931,15
25,Parthenon,5th century BC,14
26,Disneyland,1955,13
26,Colossus of Rhodes,280 BC,13
26,New York Stock Exchange,1903,13
30,ADX Florence,1994,12
30,Notre-Dame de Paris,1345,12
30,Wembley Stadium,2007,12
33,Suez Canal,1869,11
33,Walt Disney World,1971,11
33,Westminster Abbey,960,11
33,Channel Tunnel,1994,11
33,Forbidden City,1420,11
33,Willis Tower,1973,11
33,Windsor Castle,11th century,11
40,Timbuktu,5th century BC,10
40,Statue of Unity,2018,10
40,Taipei 101,2004,10
43,Arc de Triomphe,1836,9.7
43,Lighthouse of Alexandria,c. 246 BC,9.7
45,John F. Kennedy International Airport,1948,9.4
46,Temple of Artemis,c. 540 BC,9.2
47,Library of Alexandria,3rd century BC,9.0
47,Brooklyn Bridge,1883,9.0
47,Code of Hammurabi,c. 1754 BC,9.0
50,Statue of Zeus at Olympia,5th century BC,8.6
51,Leaning Tower of Pisa,1372,8.4
52,Georgia Guidestones,1980,8.3
52,Acropolis of Athens,5th century BC,8.3
52,Dome of the Rock,692,8.3
55,Great Sphinx of Giza,2532 BC,8.1
56,Wall Street,19th century,8.0
57,7 World Trade Center,2006,7.7
57,Palace of Versailles,1678,7.7
59,Al-Aqsa Mosque,705,7.5
59,Antilia (building),2010,7.5
59,Church of the Holy Sepulchre,335,7.5
62,Moai,14th century,7.3
63,David (Michelangelo),1504,7.0
64,Epcot,1982,6.9
65,Petronas Towers,1996,6.8
66,Chichen Itza,7th century,6.6
67,Delhi Metro,2002,6.4
69,Tower of London,1078,6.2
69,British Museum,1753,6.2
69,Brandenburg Gate,1791,6.2
72,Red Fort,1648,6.1
73,Louvre,1793,6.0
74,St. Peter's Basilica,1626,5.9
74,Neuschwanstein Castle,1886,5.9
74,Erie Canal,1825,5.9
77,Indira Gandhi International Airport,1940s,5.8
78,Jeddah Tower,On hold,5.7
78,United States Capitol,1800,5.7
78,Washington Monument,1888,5.7
78,Gateway of India,1924,5.7
82,Hadrian's Wall,128,5.5
83,India Gate,1921,5.3
83,United States Military Academy,1802,5.3
83,MetLife Stadium,2010,5.3
86,Mausoleum at Halicarnassus,351 BC,5.2
86,Alcatraz Federal Penitentiary,1934,5.2
89,Alhambra,13th century,5.1
89,Three Gorges Dam,13th century,5.1
89,Shanghai Tower,2015,5.1
92,Hampi,1500,5.0
92,Rikers Island prison,1932,5.0
94,Konark Sun Temple,13th century,4.9
94,Heathrow Airport,1946,4.9
94,LaGuardia Airport,1939,4.9
97,Borobudur,9th century,4.8
98,London Eye,2000,4.7
98,Disneyland Paris,1992,4.7
100,Mercedes-Benz Stadium,2017,4.6
100,Los Angeles International Airport,1928,4.6
100,Palace of Westminster,1016,4.6
